italy,https://upload.wikimedia.org/wikipedia/commons/a/aa/Italy_1494.svg,https://upload.wikimedia.org/wikipedia/commons/7/7e/Map_of_Italy_%281494%29-en.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Map_of_Italy_%281494%29-en.svg/3461px-Map_of_Italy_%281494%29-en.svg.png,https://upload.wikimedia.org/wikipedia/commons/1/13/Map_of_Italy_%281494%29-ca.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Italy_looking_like_the_flag.svg/869px-Italy_looking_like_the_flag.svg.png
india,https://upload.wikimedia.org/wikipedia/commons/5/57/India-locator-map-blank.svg,https://upload.wikimedia.org/wikipedia/commons/b/b1/India_map_en.svg,https://upload.wikimedia.org/wikipedia/en/f/f8/India-coor-locator.png,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/India_average_annual_temperature_map_en.svg/2000px-India_average_annual_temperature_map_en.svg.png,https://upload.wikimedia.org/wikipedia/commons/4/49/India_Manipur_locator_map.svg
uk,https://upload.wikimedia.org/wikipedia/commons/6/6e/Europe_regions_%28uk%29.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/UK_traffic_sign_557.svg/1159px-UK_traffic_sign_557.svg.png,https://upload.wikimedia.org/wikipedia/commons/3/39/Uk-map.svg,https://upload.wikimedia.org/wikipedia/commons/f/fb/European_Highways_UK-EI.png,https://www.publicdomainpictures.net/pictures/150000/velka/uk-map.jpg
japan,https://upload.wikimedia.org/wikipedia/commons/1/1c/Foreign-born_population_by_citizenship_in_2016_.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Flag_of_Japan.svg/2000px-Flag_of_Japan.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Flag_of_Japan.svg/1280px-Flag_of_Japan.svg.png,https://upload.wikimedia.org/wikipedia/commons/c/c1/Regions_and_Prefectures_Japan.png,https://upload.wikimedia.org/wikipedia/commons/8/82/The_first_proposals_for_the_division_of_Japan_-_WW2.png
cabinet,https://upload.wikimedia.org/wikipedia/commons/f/f3/President_Barack_Obama_with_full_cabinet_09-10-09.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d5/Hoosier_Cabinet.JPG,https://upload.wikimedia.org/wikipedia/commons/e/e3/Cabinet%2C_c._1690%2C_ebony%2C_metal_and_tortoise_shell%2C_Andr%C3%A9-Charles_Boulle%2C_Cleveland_Museum_of_Art.JPG,https://upload.wikimedia.org/wikipedia/commons/c/c4/Cabinet%2C_c_1877-80%2C_attributed_to_Daniel_Pabst_%26_Frank_Furness.JPG,https://upload.wikimedia.org/wikipedia/commons/9/9e/WLA_lacma_Cabinet.jpg
table,https://upload.wikimedia.org/wikipedia/commons/e/ec/Oval_Drop-Leaf_Dining_Table_with_Ball-and_Claw_Feet_LACMA_M.2006.51.9.jpg,https://upload.wikimedia.org/wikipedia/commons/d/dc/Table-chair_%40_Context.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6a/American_card_table_made_by_Elisha_Tucker%2C_c._1800-1815%2C_mahogany%2C_HAA.JPG,https://upload.wikimedia.org/wikipedia/commons/f/fe/Singapore_Surrender_table%2C_Singapore_History_Gallery%2C_National_Museum_of_Singapore_-_20151125-01.jpg,https://get.pxhere.com/photo/desk-table-wood-furniture-dad-hardwood-man-made-object-355390.jpg
familyphotos,https://c1.staticflickr.com/9/8495/8290587580_fc85b7a324_b.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0b/USMC-100804-M-8605C-003.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c5/Someones_Mullet_from_their_Family_Photos_%2839958323871%29.jpg,https://c1.staticflickr.com/6/5568/31324219916_cb6dee908a_b.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2f/%22top_of_the_World%22_family_photos_-_%2815947364457%29.jpg
paintingsofthegreatmasters,https://upload.wikimedia.org/wikipedia/commons/7/7f/A_descriptive_and_illustrated_catalogue_of_150_paintings_by_old_masters_of_the_Dutch%2C_Flemish%2C_German%2C_Italian%2C_Spanish_and_French_schools_%28electronic_resource%29_%281911%29_%2814741063096%29.jpg,https://upload.wikimedia.org/wikipedia/commons/5/51/A_descriptive_and_illustrated_catalogue_of_150_paintings_by_old_masters_of_the_Dutch%2C_Flemish%2C_German%2C_Italian%2C_Spanish_and_French_schools_%28electronic_resource%29_%281911%29_%2814763732532%29.jpg,https://upload.wikimedia.org/wikipedia/commons/2/28/A_descriptive_and_illustrated_catalogue_of_150_paintings_by_old_masters_of_the_Dutch%2C_Flemish%2C_German%2C_Italian%2C_Spanish_and_French_schools_%28electronic_resource%29_%281911%29_%2814577360960%29.jpg,https://get.pxhere.com/photo/portrait-painting-art-mythology-oil-on-canvas-girl-with-sheep-girl-and-lambs-old-master-1256191.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8b/The_art_of_the_Dresden_gallery%3B_notes_and_observations_upon_the_old_and_modern_masters_and_paintings_in_the_royal_collection_%281907%29_%2814779943562%29.jpg
radio,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Radio.svg/1024px-Radio.svg.png,https://upload.wikimedia.org/wikipedia/commons/3/35/Radio_521_5_marca_allocchio_bacchini%2C_italia%2C_1941.JPG,https://get.pxhere.com/photo/technology-antique-nostalgia-radio-historically-frequency-transmitter-tube-radio-radio-device-radio-station-radio-receiver-transistor-radio-electronic-device-communication-device-radio-keyboard-1202310.jpg,https://upload.wikimedia.org/wikipedia/commons/6/68/Radio_Telefunken_1950.jpg,https://get.pxhere.com/photo/music-technology-antique-retro-old-isolated-nostalgia-radio-knob-keys-speakers-receiver-1953-tube-radio-radio-device-old-radio-electronic-device-communication-device-489059.jpg
clothscrolls,https://svgsilh.com/svg/1214933-607d8b.svg,https://svgsilh.com/svg/1214933-ffc107.svg,https://svgsilh.com/svg/1214933-3f51b5.svg,https://svgsilh.com/svg/829705-607d8b.svg,https://svgsilh.com/svg/1852113-607d8b.svg
